,title,description,directed_by,written_by,produced_by,starring,cinematography,edited_by,release_date,country,language
10,"13 Days, 13 Nights","The film had its world premiere out of competition of the 2025 Cannes Film Festival on 23 May. It was theatrically released in France on 27 June by Pathé. It received generally positive reviews, with critics praising Zem performance, but under-performed at the French box office despite its €30 million budget.",Martin Bourboulon,"Martin Bourboulon, Alexandre Smia, Trân-Minh Nam","Dimitri Rassam, Ardavan Safaee, Bastien Sirodot","Roschdy Zem, Lyna Khoudri, Sidse Babett Knudsen, Christophe Montenez",Nicolas Bolduc,Stan Collet,23 May 2025(Cannes),"France, Belgium","French, English, Dari"
11,14 Days Girlfriend Intlo,"14 Days Girlfriend Intlo (transl. 14 days in girlfriend's house) is a 2025 Indian Telugu-language film comedy written and directed by Sriharsha Manne.[2] The film stars Ankith Koyya, Shriya Kontham, and Vennela Kishore in lead roles.[3]",Sriharsha Manne,Sriharsha Manne,Satya Komal N,"Ankith Koyya, Shriya Kontham, Vennela Kishore",K Soma Sekhar,Pradeep R Moram,7 March 2025,India,Telugu
12,23 Iravai Moodu,"23 Iravai Moodu is a 2025 Indian Telugu-language legal drama film written and directed by Raj Rachakonda.[1] Based on 1991 Tsunduru massacre, 1993 Chilakaluripeta massacre and 1997 Hyderabad Car Bomb Blast, the film features Teja and Tanmai in lead roles.",Raj Rachakonda,Raj Rachakonda,Raj Rachakonda,"Teja, Tanmai",Sunny Kurapati,Anil Aalayam,16 May 2025,India,Telugu
13,27 Nights,"27 Nights (Spanish: 27 noches) is a 2025 Argentine drama film directed by Daniel Hendler. The film scripted by Daniel Hendler, Martín Mauregui, and Agustina Liendo on first adaptation by Mariano Llinás is based  on 2021 biographical fiction novel Veintisiete noches by Argentine author Natalia Zito. The film starring Marilú Marini, explores the themes of aging and freedom through the story of an elderly woman admitted to a psychiatric clinic by her daughters.",Daniel Hendler,,"Agustina Llambi Campbell, Santiago Mitre","Marilú Marini, Daniel Hendler",Julián Apezteguia,Nicolás Goldbart,19 September 2025(Zinemaldia),Argentina,Spanish
14,28 Degree Celsius,28 Degree Celsius is a 2025 Indian Telugu-language romantic thriller film written and directed by Anil Vishwanath.[1] The film features Naveen Chandra and Shalini Vadnikatti in lead roles.[2],Anil Vishwanath,Anil Vishwanath,Sai Abhishek,"Naveen Chandra, Shalini Vadnikatti",Vamsi Patchipulusu,Garry BH,4 April 2025,India,Telugu
15,28 Years Later,"28 Years Later is a 2025 post-apocalyptic coming-of-age[6][7][8] horror film produced and directed by Danny Boyle and written by Alex Garland. The third film in the 28 Days Later film series, it stars Jodie Comer, Aaron Taylor-Johnson, Jack O'Connell, Alfie Williams, and Ralph Fiennes. The film tells the story of a boy living in a post-apocalyptic world who undertakes a hazardous journey with his ill mother in an effort to obtain medical treatment for her.",Danny Boyle,Alex Garland,"Andrew Macdonald, Peter Rice, Bernie Bellew, Danny Boyle, Alex Garland","Jodie Comer, Aaron Taylor-Johnson, Jack O'Connell, Alfie Williams, Ralph Fiennes",Anthony Dod Mantle,Jon Harris,19 June 2025(United Kingdom),"United Kingdom, United States",English
16,30 notti con il mio ex,30 notti con il mio ex (lit. '30 nights with my ex') is a 2025 Italian romantic comedy film co-written and directed by Guido Chiesa and starring Edoardo Leo and Micaela Ramazzotti.,Guido Chiesa,,Alessandro Usai,"Edoardo Leo, Micaela Ramazzotti",Emanuele Pasquet,"Luca Gasparini, Angelo Santini",17 April 2025,,Italian
17,40 secondi,"40 secondi (English: 40 seconds) is an Italian drama film co-written and directed by Vincenzo Alfieri [it], loosely based on the book 40 secondi. Willy Monteiro Duarte. La luce del coraggio and il buio della violenza by Federica Angeli. It had its world premiere in the Progressive Cinema Competition of the 20th Rome Film Festival on 17 October 2025, and received a theatrical release in Italy on 19 November 2025.","Vincenzo Alfieri, [, it, ]","Vincenzo Alfieri, Giuseppe Stasi",Roberto Proia,"Francesco Gheghi, Enrico Borello, Francesco Di Leva, Beatrice Puccilli, Justin De Vivo",Andrea Reitano,Vincenzo Alfieri,17 October 2025(Rome),Italy,Italian
18,45,"45 is a 2025 Indian Kannada-language fantasy action film marking the directorial debut of music composer Arjun Janya.[3][4] Produced by M. Ramesh Reddy under the Suraj Productions banner, the film features an ensemble cast including Shiva Rajkumar, Upendra, Raj B. Shetty, and Kaustubha Mani. [5] Besides direction and music, Janya has co-written the film alongside Anil Kumar (dialogues). Cinematography is handled by Satya Hegde, with editing by K. M. Prakash.[6]",Arjun Janya,"Arjun Janya, Anil Kumar (dialogues)",M. Ramesh Reddy,"Shiva Rajkumar, Upendra, Raj B. Shetty, Kaustubha Mani",Satya Hegde,K. M. Prakash,25 December 2025,India,Kannada
19,Wanagatha Kella,"In 1971, before moving to silver screen, Mendis did dramas at church feasts and taught gymnastics and martial arts to the youth at Katupotha. Then 1973, he went to Colombo to face an interview with Henry Chandrawansa and then met Sugath Samarakoone at that interview. In 1977, he worked as the stunt director of the film Wanagatha Kella.[1]",,,,,,,,,
20,96 Minutes,"96 Minutes (Chinese: 96分鐘; Tongyong Pinyin: jiǒu shí liòu fēn jhōng; Tâi-lô: káu-tsa̍p-la̍k hun) is a 2025 Taiwanese disaster action thriller film directed by Hung Tzu-hsuan and produced by Chou Chieh-chung. The film stars Austin Lin, Vivian Sung, Wang Po-chieh, and Lee Lee-zen. It is notable as the first Taiwanese disaster film centered on the Taiwan High Speed Rail system.",Hung Tzu-hsuan,"Hung Tzu-hsuan, Chen Yi-fang, Yang Wan-ju",Chou Chieh-chung,"Austin Lin, Vivian Sung, Wang Po-chieh, Lee Lee-zen",Wang Chin-cheng,Lee Tung-chuan,20 June 2025(Taipei Film Festival),Taiwan,Taiwanese Mandarin
21,The 100,"The 100 is a 2025 Indian Telugu-language action crime thriller film written and directed by Raghav Omkar Sasidhar.[1] The film features Sagar, Misha Narang and Dhanya Balakrishna in important roles.[2]",Raghav Omkar Sasidhar,Raghav Omkar Sasidhar,"Ramesh Karutoori, Venki Pushadapu, J. Tharak Ram","Sagar, Misha Narang, Dhanya Balakrishna",Shyam K. Naidu,Amar Reddy Kudumula,11 July 2025,India,Telugu
22,100 Awit para kay Stella,"Fidel Lansangan resigns from his job after being denied time to mourn his father’s death. With nowhere to stay, he briefly considers moving in with his mother, Sandra, but leaves upon overhearing his stepbrother complain about sharing a room with him.
Meanwhile, Stella Puno, now CEO of Rainstar—an events company catering to singles—meets aspiring singer Clyde Pelayo outside one of her events. Clyde, unsure which track to release as his debut single, asks Stella to choose. The song she picks becomes a hit and propels him to fame.",Jason Paul Laxamana,Jason Paul Laxamana,"Vincent Del Rosario III, Veronique Del Rosario-Corpus","Bela Padilla, JC Santos, Kyle Echarri",Noel Teehankee,Noah Tonga,"September 10, 2025",Philippines,Filipino
23,100 Meters,"100 Meters (Japanese: ひゃくえむ。, Hepburn: Hyakuemu) is a Japanese sports drama manga series written and illustrated by Uoto. Originally based on a one-shot called 100'M, it was later serialized online via Kodansha's Magazine Pocket website and app from November 2018 to August 2019, and was later collected into five tankōbon volumes.[2][3] 100 Meters follows Togashi, a prodigious sprinter whose life becomes intertwined with Komiya, a socially isolated transfer student he introduces to sprinting, unknowingly creating his biggest rival.",,,,,,,,,
24,100 Nights of Hero,"100 Nights of Hero is a 2025 historical fantasy romance film written and directed by Julia Jackman, based on the graphic novel The One Hundred Nights of Hero by Isabel Greenberg, which itself was based on the Middle Eastern folktale One Thousand and One Nights. It stars Emma Corrin, Nicholas Galitzine, Maika Monroe, Amir El-Masry, Charli XCX, Richard E. Grant and Felicity Jones. It follows a woman (Monroe) whose neglectful husband (El-Masry) leaves her alone for a hundred days to test her fidelity, as she becomes entangled in a love triangle with her loyal maid (Corrin) and her husband's seductive friend (Galitzine).",Julia Jackman,,"Helen Simmons, Stephanie Aspin, Grant S. Johnson","Emma Corrin, Nicholas Galitzine, Maika Monroe, Amir El-Masry, Charli XCX, Richard E. Grant, Felicity Jones",Xenia Patricia,Amélie Labrèche,6 September 2025(Venice),"United Kingdom, United States",English
25,100 Sunset,"The cast also includes Tsering Bawa, Lobsang Tenzin, Tsering Gyatso, Tsering Dolma, Kelsang Dolma and Sherab Sangpo.",Kunsang Kyirong,,"Joaquin Cardoner, Kristina Wong, Kunsang Kyirong","Tenzin Kunsel, Sonam Choekyi, Tsering Bawa, Tsering Gyatso",Nikolay Michaylov,Brendan Mills,"September 6, 2025(TIFF)",Canada,"English, Tibetan"
26,120 Bahadur,"120 Bahadur (transl. 120 Bravehearts) is a 2025 Indian Hindi-language historical war film directed by Razneesh ‘Razy’ Ghai and produced by Excel Entertainment and Trigger Happy Studios. The film stars Farhan Akhtar as Major Shaitan Singh and Raashii Khanna in a Special appearance as Shugan Kanwar, the wife of Shaitan Singh. The film recounts the Battle of Rezang La, considered one of the major events of the Sino-Indian War and fought on 18 November 1962, when 120 soldiers of the Charlie Company, 13 Kumaon Regiment, made up of Ahirs, defended their post against a 3000-strong Chinese Army contingent, inflicting on them over 1300 casualties.[4]",Razneesh 'Razy' Ghai,Rajiv G. Menon,"Farhan Akhtar, Ritesh Sidhwani, Amit Chandra","Farhan Akhtar, Raashii Khanna, Vivan Bhatena, Ankit Siwach",Tetsuo Nagata,Rameshwar S. Bhagat,21 November 2025,India,Hindi
27,260 Days,"Novel and the movie are based on Gubina's (born 1981) experience of captivity in Serbian concentration camp for 260 days during Croatian War of Independence, from August 1, 1991, to April 16, 1992.[1][3][4] During his imprisonment in the camp as a 10-year-old boy, Gubina was abused, forced to collect dead bodies and witnessed his sister's, Nena, rape several times.[5] The Croatian National Theatre in Osijek staged an award-winning play of his experience in 2014.[6][7]",Jakov Sedlar,,"Marijan Gubina, Alexander Hrkac, Ilenka Jelowicki, Drazen Majstrovic, Jakov Sedlar","Tim Roth, Will Godber, Sam Hazeldine, Camilla Rutherford, Isabella Dempster, Armand Assante, Ángela Molina, Alec Newman",Davor Bjelanovic,Yvan Gauthier,"November 2, 2025(Gradski vrt Hall)","Croatia, United States",English
28,825 Forest Road,"The plot follows the Wilson family, Chuck, his wife Maria, and his little sister Isabelle, as they move into a new home in Ashland Falls. The film is separated into chapters and the first three depicts the family's first few days in their new home, from the perspective of each family member.",Stephen Cognetti,Stephen Cognetti,"Joe Bandelli, Dana Guerin, Cindi Rice","Elizabeth Vermilyea, Kathryn Miller, Joe Bandelli, Joe Falcone, Madeleine Garcia, Brian Anthony Wilson",David Gordon,Brian D. Lambert,"April 4, 2025",United States,English
29,916 Kunjoottan,"916 Kunjoottan is a 2025 Indian Malayalam language action thriller film directed by Aaryan Vijay in his directorial debut. The film stars Guinness Pakru in lead role, along with Tini Tom and Rakesh Subramanian.[2][3]",Aaryan Vijay,"Rakesh Subramanian, Aaryan Vijay, Raj Vimal Rajan",,"Guinness Pakru, Tini Tom, Rakesh Subramanian, Dayyana Hameed, Niya Varghese",Sreenivasa Reddy,Don Max,"May 23, 20251",India,Malayalam
30,1000 Waala,"1000 Waala is a 2025 Indian Telugu-language drama film directed by Afzal. The film stars Amith Dream Star, Sharukh Baig and Navitha Gangat in the lead roles, alongside Mukhtar Khan, Pilla Prasad and Suman.[citation needed] The film was produced by Sharukh Baig under the banner of Super Hit Movie Makers.[1]",Afzal Shaik,,Sharukh,"Amith Dream Star, Sharukh Baig, Navitha Gangat",Chandu Aj,Ravi Teja,14 March 2025,India,Telugu
31,1242: Gateway to the West,"When the Great Mongolian Army is about to invade Europe in 1242, it doesn't expect that the Hungarian castle of Esztergom and its priest, Eusebius, will stop it.",Péter Soós,"Aron Horvath, Joan Lane","Carlos Alperin, Bayar Banzragch, Bill Chamberlain, Kornél Sipos, Bumchin Namshir","Jeremy Neumark Jones, Neil Stuke, Bold Choimbol, Genevieve Chenneour, Michael Ironside, Eric Roberts, David Schofield, Ray Stevenson",István Balázs,Kant Pan,"October 2, 20251",Hungary,"English, Mongolian"
32,1938: When Mexico Recovered Its Oil,"In 1938, President Lázaro Cárdenas faced the most difficult decision of his term: to expropriate the oil industry. Powerful foreign companies were unwilling to allow this; the decision also required compensating them to avoid a major international conflict. It was at this point that the Mexican people united to contribute whatever they could to ensure the return of oil to the nation.[3]",Sergio Olhovich,"Sergio Olhovich, Carlos Montemayor","Javier Colinas, Roberto Fiesco, Mario Guerrero García, Sergio Olhovich, Iliana Reyes, Eckehardt Von Damm",Ianis Guerrero,Arturo de la Rosa,,"March 18, 2025(Cineteca Nacional)",Mexico,"Spanish, English"
33,1982,"The film premiered worldwide on August 11, 2025, at the 29th Lima Film Festival as part of the Peruvian Competition,[3] then screened on October 26, 2025, at the 44th Abitibi-Témiscamingue International Film Festival,[4] and on November 14, 2025, at the 12th Trujillo Film Festival.[5]",García JC,García JC,"Paul Córdova, Eliana Illescas, García JC",Jhordano Álvarez Huarcaya,Marco Arauco,Zachary Ayotte,"August 11, 2025(Lima)",Peru,Spanish
34,2000 Meters to Andriivka,"2000 Meters to Andriivka (Ukrainian: «2000 метрів до Андріївки», romanized: 2000 metriv do Andriivky) is a 2025 documentary film produced and directed by Mstyslav Chernov. It follows Chernov, Alex Babenko and a Ukrainian platoon during a mission to liberate the Russian-occupied village of Andriivka, during the ongoing Russo-Ukrainian War.[2]",Mstyslav Chernov,,"Mstyslav Chernov, Michelle Mizner, Raney Aronson-Rath",,Mstyslav Chernov,Michelle Minzer,23 January 2025(Sundance),"Ukraine, United States","Ukrainian, English"
35,2020 Delhi,"2020 Delhi is an Indian Hindi-language feature film released on 14 November 2025.[2] Directed by Devendra Malviya and produced by Nandkishore Malviya, Ashu Malviya, and Amit Malviya, the film is made under the banner of Midas Touch Films.[3][4][5][6][7] It features an ensemble cast including Brijendra Kala, Samar Jai Singh, Bhupesh Singh, Siddharth Bhardwaj, Devendra Maalviya, Chetan Sharma, Akashdeep Arora, Diksha Asthana, Vicky Yadav, and others.[8][9] The film is India’s first one-shot feature film—shot entirely in a single continuous take.[10][11]",Devendra Malviya,Devendra Malviya,"Nandkishor Malviya, Ashu Malviya, Amit Malviya","Samar Jai Singh, Brijendra Kala, Siddharth Bhardwaj, Devendra Malviya, Bhupesh Singh, Vicky Yadav, Amit Jha, Chetan Sharma, Akashdeep Arora, Diksha Asthana",Kartik Kumar Bhagat,Sayyed Faraaz,14 November 2025,India,Hindi
36,3670,"The film premiered at the San Francisco International Film Festival in April 2025,[3] and had its Korean premiere at the Jeonju International Film Festival in May.[4] It went into commercial release in September 2025.[5]",Park Joon-ho,,Hyein Lee,"Cho Yoo-hyun, Kim Hyun-mok",Sang Kil Han,Park Joon-ho,"April 19, 2025(SFFILM)",South Korea,Korean
37,Aabeer Gulaal,Aabeer Gulaal is a 2025 Hindi-language romantic comedy film produced by Vivek Agrawal and directed by Aarti S. Bagdi. The film stars Fawad Khan and Vaani Kapoor.[2][3] it was scheduled for release on 9 May 2025. The film's release was delayed following the 2025 Pahalgam attack and ensuing India–Pakistan diplomatic tensions.[4],Aarti S. Bagdi,"Aarti S. Bagdi, Meghna Singhee","Avantika Hari, Vivek Agrawal, Rakesh Sippy","Fawad Khan, Vaani Kapoor",Tribhuvan Babu Sadineni,Aakash Yadav,12 September 2025,United Kingdom,Hindi
38,Aabhyanthara Kuttavaali,"Aabhyanthara Kuttavaali (Malayalam: അഭ്യന്തര കുറ്റവാളി; transl. Domestic Criminal) is a 2025 Indian Malayalam-language comedy-drama film written and directed by debutant Sethunath Padmakumar. The film stars Asif Ali alongside newcomer actress Thulasi, Jagadish, and Harisree Ashokan in lead roles.[2][3]",Sethunath Padmakumar,Sethunath Padmakumar,Naisam Salam,"Asif Ali, Thulasi, Jagadish, Harisree Ashokan",Ajay David Kachappilly,Sobin K Soman,6 June 2025,India,Malayalam
39,Aachari Baa,"Aachari Baa is a 2025 Indian Hindi-language family drama film directed by Hardik Gajjar and produced by Jio Studios in association with Hardik Gajjar Films and Backbencher Pictures. The film stars Neena Gupta, Kabir Bedi, and Vatsal Sheth, and it premiered on the streaming platform JioHotstar on 14 March 2025.[1] It is a remake of the 2023 Tamil movie Appatha.",Hardik Gajjar,Shreyes Anil Lowlekar,"Jyoti Deshpande, Parth Gajjar, Poonam Shroff","Neena Gupta, Kabir Bedi, Vatsal Sheth",Hrishikesh Gandhi,Kanu Prajapati,14 March 2025,India,Hindi
40,Aadrika,"Aadrika is a 2025 Indian Malayalam-language thriller film directed by Abhijit Adhya.[1] The film stars Niharica Raizada in the titular role, alongside Donovan T. Wodehouse and Ajumalna Azad. The storyline follows a pregnant woman who returns to her ancestral home, only to experience a series of mysterious and supernatural occurrences.[2][3]",Abhijit Adhya,Vinod Narayanan,The Garage House Production,"Donovan T. Wodehouse,, Niharica Raizada, , Ajumalna Azad",Jayakumar Thangavel,,9 May 2025,India,Malayalam
41,Aamar Boss,"Aamar Boss (transl. My Boss) is a 2025 Indian Bengali-language corporate drama film written, produced and directed by Nandita Roy and Shiboprosad Mukherjee under the banner of Windows Production.[2][3] The film stars Rakhee Gulzar, marking her comeback in Bengali cinema after twenty two years,[4][5] Shiboprosad Mukherjee and Srabanti Chatterjee in lead roles, with Sauraseni Maitra, Aishwarya Sen, Shruti Das and Gourab Chatterjee in supporting roles.","Nandita Roy, Shiboprosad Mukherjee",,"Nandita Roy, Shiboprosad Mukherjee","Rakhee Gulzar, Shiboprosad Mukherjee, Srabanti Chatterjee",Indranath Marick,Malay Laha,9 May 2025,India,Bengali
42,Aan Paavam Pollathathu,"Aan Paavam Pollathathu (transl. Sin against Men is Dangerous) is a 2025 Indian Tamil-language romantic comedy film directed by Kalaiarasan Thangavel in his directorial debut and written by Sivakumar Murugesan. The film is produced by Vedikkaranpatti S. Sakthivel under his Drumsticks Productions banner starring Rio Raj and Malavika Manoj in the lead roles, reuniting after Joe (2023).",Kalaiarasan Thangavel,"Kalaiarasan Thangavel, Sivakumar Murugesan (Dialogues)",Vedikkaranpatti S. Sakthivel,"Rio Raj, Malavika Manoj",Madhesh Manickam,Varun KG,31 October 2025,India,Tamil
43,Aankhon Ki Gustaakhiyan,"Aankhon Ki Gustaakhiyan (lit. transl. Eyes' Impudence) is a 2025 Indian Hindi-language romantic drama film written by Mansi Bagla[4][5] and directed by Santosh Singh. It is produced by Mansi Bagla and Varun Bagla under Zee Studios and Mini Films. Adapted from Ruskin Bond's short story The Eyes Have It, the film stars Vikrant Massey as a visually impaired musician and marks the acting debut of Shanaya Kapoor as a theater artist. Principal photography concluded in early 2025 after filming in Mussoorie, Mumbai and Europe[6] and the film was released on 11 July 2025 in theatres.[7][8]",Santosh Singh,"Mansi Bagla, [, 1, ]","Mansi Bagla, Varun Bagla","Vikrant Massey, Shanaya Kapoor",Tanveer Mir,Unnikrishnan P.P.,11 July 2025,India,Hindi
44,Aap Jaisa Koi,"Aap Jaisa Koi (transl. Someone Like You) is a 2025 Indian Hindi-language romantic comedy drama film directed by Vivek Soni and produced by Karan Johar's Dharmatic Entertainment for Netflix.[2][3] It stars R. Madhavan as Shrirenu Tripathi, a reserved middle-aged Sanskrit professor, and Fatima Sana Shaikh as Madhu Bose, a spirited French language instructor.[2][4][5][6]",Vivek Soni,"Radhika Anand, Jehan Handa","Karan Johar, Adar Poonawalla, Apoorva Mehta, Somen Mishra","R. Madhavan, Fatima Sana Shaikh, Ayesha Raza, Manish Chaudhary, Namit Das",Debojeet Ray,Prashanth Ramachandran,11 July 2025,India,Hindi
45,Aap Kaise Ho,"Aap Kaise Ho? is a 2025 Indian Malayalam-language crime comedy film directed by Vinay Jose[2] and written by Dhyan Sreenivasan.[3][4]  It stars Sreenivasan, Dhyan Sreenivasan, Aju Varghese, Ramesh Pisharody, Saiju Kurup, Sudheesh, and Tanvi Ram.[5][6] The film is based on true events which revolves around a chaotic bachelor party that leads to unexpected moral dilemmas.[7][8] The film was a Box office bomb.[9]",Vinay Jose,Dhyan Sreenivasan,"Manuel Cruz Darwin, Amjith","Sreenivasan, Dhyan Sreenivasan, Aju Varghese, Ramesh Pisharody, Saiju Kurup, Sudheesh, Tanvi Ram",Akhil George,Vinayan M. J.,"February 28, 2025(India)",India,Malayalam
46,Aarii,"Aarii is a 2025 Indian Bengali-language action drama film, written and directed by Jiit Chakraborty.[2] Produced by Yash Dasgupta, Amitava Dey and Sreejit Mukherjee under YD Films, GSI Films and GP Entertainment, the film stars Moushumi Chatterjee as Jaya Sen, Yash Dasgupta as her son Joy Sen and Nusrat Jahan as Aditi, a writer who becomes involved in their lives. The narrative explores the sacrifices and emotional bonds between a widowed mother and her caregiver son. It was released theatrically on 25 April 2025.[3] The film received mixed to positive reviews from the critics and is a blockbuster at the Box Office.",Jiit Chakraborty,Amitava Bhattacharya,"Yash Dasgupta, Amitava Dey, Sreejit Mukherjee","Moushumi Chatterjee, Yash Dasgupta, Nusrat Jahan",Souvik Basu,Subhajit Singha,25 April 2025,India,Bengali
47,Aaromaley,"Aaromaley (transl. O Beloved) is an Indian Tamil-language romantic comedy buddy film written and directed by Sarang Thiagu in his debut, starring Kishen Das and Shivathmika Rajashekar in the lead roles, alongside Harshath Khan and VTV Ganesh in important roles. The film is produced by S. Vinod Kumar under his Mini Studio LLP banner, while the technical team consists of cinematographer Gowtham Rajendran, editor Praveen Antony and music composer Siddhu Kumar.",Sarang Thiagu,Sarang Thiagu,S. Vinod Kumar,"Kishen Das, Shivathmika Rajashekar",Gowtham Rajendran,Praveen Antony,7 November 2025,India,Tamil
48,Aarpar,"Aarpar (transl. This or that) is a 2025 indian Marathi-language romantic drama film directed by Gaurav Patki. The film stars Lalit Prabhakar and Hruta Durgule in lead roles. The film received mixed reviews with praise towards the performances, cinematography & music but criticism towards the story.",Gaurav Patki,Gaurav Patki,"Namdev N Katkar, Ritesh M. Chaudhari","Lalit Prabhakar, Hruta Durgule","Rahul Chauhan, [, 1, ]",Faizal Mahadik,12 September 2025,India,Marathi
49,Aaryan,"Aaryan is a 2025 Indian Tamil-language action thriller film written and directed by Praveen K in his directorial debut. The film stars Vishnu Vishal, Shraddha Srinath and Maanasa Choudhary in the lead roles, alongside Selvaraghavan in an important role. The film is produced by Vishnu Vishal himself under his Vishnu Vishal Studioz banner.[2] Aaryan is an adaptation of the 2019 Malayalam web series Menaka, which was also co-written and directed by Praveen.[3]",Praveen K,"Praveen K, Manu Anand",Vishnu Vishal,"Vishnu Vishal, Shraddha Srinath, Maanasa Choudhary, Selvaraghavan",Harish Kannan,San Lokesh,31 October 2025,India,Tamil
